product,rating,rating count,price,product url
"KOORUI 27 Inch QHD Gaming Monitor 144 Hz, VA, 1ms, DCI-P3 90% Color Gamut, FreeSync G-Sync Compatible, (2560x1440, HDMI, DisplayPort) Black  ",4.3,"3,546  ",158.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4NjgzMTMyNDM4MzYwNzk6MTY4NzM5MTEzNTpzcF9hdGY6MjAwMDkxODczMjQ1ODk4OjowOjo&url=%2FKOORUI-FreeSync-Compatible-2560x1440-DisplayPort%2Fdp%2FB0B1B3VZLD%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dpc%26qid%3D1687391135%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Beelink Mini PC, Mini S12 Pro Intel 12th Gen 4-Core N100(up to 3.4GHz), Mini Computer 16GB DDR4 RAM 500GB SSD, Desktop PC Dual HDMI 4K UHD/Gigabit Ethernet/WiFi6/BT5.2/Linux PC(Ubuntu)/HTPC  ",4.3,503  ,239.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4NjgzMTMyNDM4MzYwNzk6MTY4NzM5MTEzNTpzcF9hdGY6MjAwMTQ5NDQ0MDMzOTk4OjowOjo&url=%2FBeelink-SEI10-i3-10110U-Computer-Performance%2Fdp%2FB08XBVXNFP%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dpc%26qid%3D1687391135%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"STGAubron Gaming Desktop PC, Intel Core I5 3.3Ghz up to 3.7Ghz, AMD Radeon RX 550 4G GDDR5, 16G Ram, 512G SSD, WiFi, BT 5.0, RGB Fan x 3, RGB Keybaord & Mouse, RGB Mouse Pad, W10H64  ",3.5,133  ,349.99,https://amazon.com/STGAubron-Gaming-Desktop-3-3Ghz-Keybaord/dp/B0BRL5PF1L/ref=sr_1_3?keywords=pc&qid=1687391135&sr=8-3
"HP EliteDesk Desktop RGB Lights Computer AMD A-Series Processor, Windows 10 Pro 64-bit, Wi-Fi, Gaming PC Keyboard & Mouse (Renewed) (8 GB RAM, 256 GB SSD)  ",3.3,170  ,111.34,https://amazon.com/HP-EliteDesk-Computer-Processor-Keyboard/dp/B0B8B615PL/ref=sr_1_4?keywords=pc&qid=1687391135&sr=8-4
"Alarco Gaming PC Desktop Computer Intel i5 3.10GHz,8GB Ram,512 GB SSD,Windows 10 pro,WiFi Ready,Video Card Nvidia GTX 750 Ti 4GB, 6 RGB Fans with Remote  ",3.5,11  ,399.99,https://amazon.com/Alarco-Desktop-Computer-3-10GHz-Windows/dp/B0BXM9X8CF/ref=sr_1_5?keywords=pc&qid=1687391135&sr=8-5
"iBuyPower SlateMR Gaming PC Computer Desktop SlateMR 2130V2 (AMD Ryzen 5 4500 3.6 GHz, Radeon RX 560 4 GB, 8 GB DDR4 RAM, 500 GB NVMe SSD, WiFi Ready, Windows 11 Home)  ",4.2,"2,749  ",584.99,https://amazon.com/iBuyPower-SlateMR-Computer-Desktop-Windows/dp/B0BT4LYQGQ/ref=sr_1_6?keywords=pc&qid=1687391135&sr=8-6
"Skytech Archangel Gaming PC Desktop – AMD Ryzen 5 3600 3.6 GHz, NVIDIA RTX 3050, 500GB NVME SSD, 8GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit  ",4.6,49  ,799.99,https://amazon.com/Skytech-Archangel-Gaming-PC-Desktop/dp/B0BRBQF5SC/ref=sr_1_7?keywords=pc&qid=1687391135&sr=8-7
"HP ProDesk Desktop RGB Lights Computer Intel Core i5 4570 3.2 GHz 8GB RAM 256GB SSD Win 10 Pro WiFi, Gaming PC Keyboard, Mouse(Renewed)  ",4.0,426  ,120.95,https://amazon.com/HP-ProDesk-Customized-Computer-Keyboard/dp/B09S42J71N/ref=sr_1_8?keywords=pc&qid=1687391135&sr=8-8
"Dell PC Treasure Box RGB Desktop Computer Intel Quad Core I5 up to 3.6G, 16G, 512G SSD, WiFi & Bluetooth, RGB Gaming PC Keyboard & Mouse, DVD, Windows 10 Pro (Renewed) (Diamond Black)  ",4.3,"3,424  ",159.99,https://amazon.com/Dell-Treasure-Desktop-Computer-Bluetooth/dp/B0BB37DG68/ref=sr_1_9?keywords=pc&qid=1687391135&sr=8-9
"Thermaltake Glacier 360 Liquid-Cooled PC (AMD Ryzen 5 5600X, RTX 3060, 16GB 3600Mhz DDR4 ToughRAM RGB Memory, 1TB NVMe M.2, WiFi, Win 10 Home) Gaming Desktop Computer S3WT-B550-G36-LCS  ",4.3,248  ,1268.99,https://amazon.com/Thermaltake-Liquid-Cooled-ToughRAM-Computer-S3WT-B550-G36-LCS/dp/B09FYNM2GW/ref=sr_1_10?keywords=pc&qid=1687391135&sr=8-10
"lenovo ThinkCentre M73 SFF Small Form Factor Business Desktop Computer, Intel Dual-Core i3-4130 3.4GHz, 8GB RAM, 500GB HDD, USB 3.0, WiFi, DVD, Windows 10 Professional (Renewed)  ",4.3,523  ,69.99,https://amazon.com/Lenovo-ThinkCentre-M73-Professional-Refurbished/dp/B07798GCN7/ref=sr_1_11?keywords=pc&qid=1687391135&sr=8-11
"MXZ Gaming Desktop PC Computer I3 13100F,GTX1660S,16G DDR4, NVME 500GB SSD, 6 RBG Fans, Windows 10 Pro Ready to use (I3 13100F| GTX1660S)  ",4.3,18  ,739.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4NjgzMTMyNDM4MzYwNzk6MTY4NzM5MTEzNTpzcF9tdGY6MjAwMTc5NzU2MjAwMDk4OjowOjo&url=%2FMXZ-Desktop-Computer-GTX1660S-Windows%2Fdp%2FB0C5D3CRV3%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dpc%26qid%3D1687391135%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell PC Black Treasure Box RGB Desktop Quad Core I5 up to 3.6G, 16G, 512G SSD, WiFi, BT, RGB Keyboard & Mouse, DVD, New 22"" 1080P FHD LED, RGB Sound Bar, Webcam, Win 10 Pro(Renewed)  ",4.1,"2,212  ",249.99,https://amazon.com/Dell-Treasure-Desktop-Keyboard-Renewed/dp/B0BHNWFXW3/ref=sr_1_13?keywords=pc&qid=1687391135&sr=8-13
"STGAubron Gaming Diamond Desktop, Intel Core I7 3.4 GHz up to 3.9 GHz, GTX 1660 Ti 6G GDDR6, 16G RAM, 512G SSD, WIFI, BT 5.0, RGB Fan x 6, RGB Keyboard & Mouse, RGB Mouse Pad, RGB BT Sound Bar, W10H64  ",3.9,27  ,519.99,https://amazon.com/STGAubron-Gaming-Diamond-Desktop-Keyboard/dp/B0BVBWRTGH/ref=sr_1_14?keywords=pc&qid=1687391135&sr=8-14
"Alarco Gaming PC Desktop Computer Intel i7 3.40GHz,16GB Ram,1TB Hard Drive,Windows 10 pro,WiFi Ready,Video Card Nvidia GTX 750 4GB, 3 RGB Fans with Remote  ",3.5,113  ,469.99,https://amazon.com/Desktop-Computer-Alarco-3-40GHz-Windows/dp/B09YMXQMPY/ref=sr_1_15?keywords=pc&qid=1687391135&sr=8-15
DELL Optiplex 3020 SFF Desktop PC - Intel Core i5-4570 3.2GHz 8GB 500GB DVDRW Windows 10 Professional (Renewed)']  ,4.2,"1,105  ",75.99,https://amazon.com/Dell-Optiplex-3020-SFF-Desktop/dp/B075WYN1JL/ref=sr_1_16?keywords=pc&qid=1687391135&sr=8-16
"KAMRUI Mini PC,12th Intel Alder Lake- N95 up to 3.4 GHz,8GB RAM+256GB M.2 SSD, Windows 11 Pro Mini Computer,Support 2.5"" SATA SSD,WiFi 2.4G/5G,Bluetooth4.2,Triple Display,4K Reliable Office Small PC  ",4.5,132  ,199.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4NjgzMTMyNDM4MzYwNzk6MTY4NzM5MTEzNTpzcF9tdGY6MzAwMDAzMjE2MzcxODAyOjowOjo&url=%2FKAMRUI-Windows-Computer-Bluetooth4-2-Reliable%2Fdp%2FB0BZVSSJSW%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dpc%26qid%3D1687391135%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell OptiPlex Computer Desktop PC, Intel Core i5 3rd Gen 3.2 GHz, 16GB RAM, 2TB HDD, New 22 Inch LED Monitor, RGB Keyboard and Mouse, WiFi, Windows 10 Pro (Renewed)  ",3.8,"1,639  ",213.98,https://amazon.com/Dell-OptiPlex-Computer-Desktop-Keyboard/dp/B09TN242Q5/ref=sr_1_18?keywords=pc&qid=1687391135&sr=8-18
"ViprTech Mutineer Gaming PC Desktop - Intel Core i7 (3.8GHz), GeForce GTX 1660 Super 6GB, 16GB RAM, 512GB NVMe SSD, RGB Keyboard Mouse Mousepad, WiFi, Bluetooth, Win 10 Pro, Streaming, Editing, Black  ",4.4,13  ,559.99,https://amazon.com/ViprTech-Mutineer-Gaming-Desktop-Bluetooth/dp/B0C29FCJKR/ref=sr_1_19?keywords=pc&qid=1687391135&sr=8-19
"STGAubron Gaming Desktop PC,Intel Core I5 3.3Ghz up to 3.7Ghz,GeForce RTX 2060 6G GDDR6,16G RAM,512G SSD,WiFi,BT 5.0,RGB Fan x 3,RGB Keybaord & Mouse,RGB Mouse Pad,RGB Bluetooth Sound Bar,W10H64  ",3.3,38  ,449.99,https://amazon.com/STGAubron-Desktop-GeForce-Keybaord-Bluetooth/dp/B0BRL6XHKW/ref=sr_1_20?keywords=pc&qid=1687391135&sr=8-20
